"position","block","line","pop","survival","leaf","nod","plant_ID","shoot","root","choice","totalred","env","dataset","diss","flo","fru","flo_bin"
"R08","one","HTD2","HTD",1,117,17,"1-R08",271.6,63.4,NA,NA,"plot_1","KSR-field","Andrea and Jessica",0,0,0
"R09","two","WT18","WT",1,4,6,"1-R09",20.6,6.5,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"R11","one","RBE38","RBE",1,9,5,"1-R11",25.5,7.6,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"R13","one","DE15","DE",1,103,86,"1-R13",190.6,260.9,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"R15","two","DU4","DU",1,21,12,"1-R15",49.7,18.4,NA,NA,"plot_1","KSR-field","Rebecca",0,0,0
"R17","two","AC20","AC",0,12,13,"1-R17",16.1,14.6,NA,NA,"plot_1","KSR-field","Grant",0,0,0
"A03","one","WR40a","WR",1,132,4,"2-A03",506.4,105.1,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"A06","two","HTR1","HTR",1,15,17,"2-A06",12.9,10.5,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"A09","one","WT18","WT",1,12,14,"2-A09",23,10.1,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"A11","one","WR40a","WR",1,8,15,"2-A11",34,16.6,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"A13","one","KA16","KA",1,21,14,"2-A13",36.2,26.4,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"A15","one","WT18","WT",1,278,23,"2-A15",5131.7,473.7,NA,NA,"plot_2","KSR-field","Monika",21,27,1
"B01","two","FOR43","FOR",1,328,114,"2-B01",1654.3,184.5,NA,NA,"plot_2","KSR-field","Grant",5,0,1
"B02","two","HTR1","HTR",1,9,4,"2-B02",9.9,3.9,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"B03","one","FOR43","FOR",1,29,0,"2-B03",77.7,10.4,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"B04","two","DU17","DU",1,10,6,"2-B04",13.9,6,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"B05","two","HTD2","HTD",1,220,34,"2-B05",493.9,129.4,NA,NA,"plot_2","KSR-field","Nabina",0,0,0
"B06","two","HTR25","HTR",1,3,8,"2-B06",2.9,4.3,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"B08","one","AC3","AC",1,14,19,"2-B08",58.5,29.9,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"B09","one","FZ19","FZ",1,44,17,"2-B09",122.4,30.2,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"B12","one","RBE38","RBE",1,45,30,"2-B12",203.8,80.35,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"B13","one","AC20","AC",1,33,13,"2-B13",103.5,24.8,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"B14","one","AC20","AC",1,374,14,"2-B14",2512.1,111.5,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,21,0
"B15","one","AC3","AC",1,42,19,"2-B15",151.8,25.2,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"B16","two","HTD2","HTD",1,0,0,"2-B16",8.2,2.3,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"B17","two","HTD2","HTD",1,136,18,"2-B17",568.6,83.9,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"B19","two","HTR25","HTR",1,18,13,"2-B19",42.4,11.5,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"C01","two","WT30","WT",1,39,22,"2-C01",147.6,35.3,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"C02","two","KA16","KA",1,36,33,"2-C02",309.4,72.2,NA,NA,"plot_2","KSR-field","Rebecca",2,0,1
"C04","one","FOR15","FOR",1,126,12,"2-C04",825.8,142.6,NA,NA,"plot_2","KSR-field","Nabina",0,0,0
"C05","two","WT30","WT",1,90,34,"2-C05",897.3,112.3,NA,NA,"plot_2","KSR-field","Abby",1,0,1
"C07","one","RBE38","RBE",1,24,14,"2-C07",17.5,14.6,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"C09","one","KA16","KA",1,45,28,"2-C09",280.6,44.8,NA,NA,"plot_2","KSR-field","Simran",3,0,1
"C11","one","DE15","DE",1,20,23,"2-C11",74.5,209.3,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"C12","one","HTR1","HTR",1,149,27,"2-C12",732.4,132.1,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"C13","one","FZ24","FZ",1,27,24,"2-C13",77.8,37.2,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"C17","two","KA16","KA",1,342,35,"2-C17",1429.6,195,NA,NA,"plot_2","KSR-field","Steffi",9,0,1
"D01","two","HTD2","HTD",1,10,5,"2-D01",10.6,3.8,NA,NA,"plot_2","KSR-field","Jing Qi",0,0,0
"D02","two","WT30","WT",1,18,6,"2-D02",46.7,27.5,NA,NA,"plot_2","KSR-field","not recorded",0,0,0
"D03","one","FOR15","FOR",1,34,4,"2-D03",58.7,16,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"D04","one","WR40a","WR",1,174,50,"2-D04",966.5,136.8,NA,NA,"plot_2","KSR-field","Steffi",2,3,1
"D06","two","DU17","DU",1,33,41,"2-D06",111.7,34,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"D08","one","AC20","AC",1,0,4,"2-D08",9.5,11.4,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"D09","one","FOR15","FOR",1,35,25,"2-D09",85.1,19.4,NA,NA,"plot_2","KSR-field","Samriti",0,0,0
"D10","one","KA24","KA",1,49,84,"2-D10",263.6,115.8,NA,NA,"plot_1","KSR-field","Steffi",0,0,0
"D11","one","FZ24","FZ",1,162,66,"2-D11",820.9,139,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"D12","one","DU17","DU",1,171,18,"2-D12",502.6,86.2,NA,NA,"plot_2","KSR-field","Samriti",6,11,1
"D13","one","WT30","WT",1,6,5,"2-D13",12.6,8.5,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"D14","one","WR40a","WR",1,99,12,"2-D14",632.8,97.1,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"D15","one","FOR15","FOR",1,96,35,"2-D15",915.2,133.7,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"D17","two","DU17","DU",1,53,15,"2-D17",100.6,27.8,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"D18","two","KA16","KA",1,125,19,"2-D18",410.9,88.4,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"E01","two","RBE34","RBE",1,7,9,"2-E01",8.8,6.4,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"E02","one","HTD28","HTD",1,307,43,"2-E02",1188.8,176.8,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"E03","one","KA24","KA",1,19,3,"2-E03",36.3,10.15,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"E04","two","HTR1","HTR",1,39,22,"2-E04",88.8,29.3,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"E05","two","HTD28","HTD",1,24,6,"2-E05",74.55,13.3,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"E06","two","RBE17","RBE",1,127,30,"2-E06",619,103,NA,NA,"plot_2","KSR-field","Andrea",0,4,0
"E07","two","FZ19","FZ",1,21,33,"2-E07",198.6,34.3,NA,NA,"plot_2","KSR-field","Rebecca",1,0,1
"E08","one","RBE17","RBE",1,106,44,"2-E08",376.7,118.6,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"E09","one","RBE34","RBE",1,206,81,"2-E09",999.4,153.2,NA,NA,"plot_2","KSR-field","Steffi",6,38,1
"E11","one","AC20","AC",1,216,66,"2-E11",1094.7,202.8,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,17,0
"E12","one","FZ24","FZ",1,72,51,"2-E12",279.8,75.6,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"E13","one","HTR30","HTR",1,25,7,"2-E13",35.2,7.4,NA,NA,"plot_2","KSR-field","Junielle",0,0,0
"E14","one","WT18","WT",1,22,25,"2-E14",67,16.4,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"E15","one","FZ24","FZ",1,445,11,"2-E15",1674.4,159.5,NA,NA,"plot_2","KSR-field","Samriti",23,0,1
"F02","two","RBE17","RBE",1,8,4,"2-F02",23.7,5.4,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"F03","one","HTR30","HTR",1,41,8,"2-F03",89,16.4,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"F04","one","FZ19","FZ",1,178,13,"2-F04",610.9,147.5,NA,NA,"plot_2","KSR-field","Nabina",5,10,1
"F06","two","HTR1","HTR",1,24,25,"2-F06",123.6,23.7,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"F08","one","HTD2","HTD",1,235,43,"2-F08",864.5,124,NA,NA,"plot_2","KSR-field","Steffi",7,6,1
"F09","one","FOR15","FOR",1,109,26,"2-F09",423,88.5,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"F10","one","DU4","DU",1,81,83,"2-F10",508.8,68.85,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"F11","one","AC15","AC",1,28,37,"2-F11",188,38.8,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,3,0
"F13","one","HTR1","HTR",1,85,12,"2-F13",364.6,47.5,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"F14","one","FOR43","FOR",1,46,27,"2-F14",166.5,51.6,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"F15","one","KA16","KA",1,151,4,"2-F15",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"G02","two","KA16","KA",1,129,61,"2-G02",375.8,95.5,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"G03","one","AC20","AC",1,44,13,"2-G03",93.3,17,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"G04","two","HTD2","HTD",1,95,25,"2-G04",273.1,775,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"G06","two","AC15","AC",0,36,33,"2-G06",396.2,80.3,NA,NA,"plot_2","KSR-field","Rebecca",6,1,1
"G07","one","WT18","WT",1,129,24,"2-G07",612.1,141.9,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"G08","one","DE7","DE",1,254,37,"2-G08",2219,240.6,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,3,0
"G10","one","HTD2","HTD",1,52,28,"2-G10",797.3,125.8,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,12,0
"G11","one","DE15","DE",1,75,13,"2-G11",518.8,63.3,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,18,0
"G12","one","DU17","DU",1,120,55,"2-G12",474.8,99.1,NA,NA,"plot_2","KSR-field","Samriti",0,0,0
"G13","one","FOR26","FOR",1,241,27,"2-G13",1296.7,169.9,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,2,0
"G14","one","AC20","AC",1,51,13,"2-G14",176.7,26,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"G15","one","FZ19","FZ",1,372,44,"2-G15",990.3,144.6,NA,NA,"plot_2","KSR-field","Steffi",12,23,1
"G17","two","FOR43","FOR",1,51,58,"2-G17",580.6,76,NA,NA,"plot_2","KSR-field","Rebecca",4,1,1
"H01","one","FZ24","FZ",1,13,3,"2-H01",33.2,11.2,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"H03","one","FOR43","FOR",1,162,20,"2-H03",626.6,122.3,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"H04","one","WR31","WR",1,116,46,"2-H04",478,127.5,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"H06","two","DE7","DE",1,30,18,"2-H06",214,36.6,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"H07","two","HTR30","HTR",1,104,20,"2-H07",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"H08","two","WR31","WR",1,13,11,"2-H08",4.5,33.5,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"H09","one","FOR15","FOR",1,115,17,"2-H09",1988.5,132.5,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,40,0
"H10","one","AC3","AC",1,163,19,"2-H10",1689.9,188.2,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,23,0
"H11","one","DE7","DE",1,18,40,"2-H11",132.3,13.7,NA,NA,"plot_2","KSR-field","Grant (Simran)",0,0,0
"H12","one","RBE17","RBE",1,63,36,"2-H12",NA,NA,NA,NA,"plot_2","KSR-field","Samriti",0,2,0
"H13","one","RBE17","RBE",1,79,37,"2-H13",289.7,58.2,NA,NA,"plot_2","KSR-field","Steffi",3,5,1
"H14","one","FZ19","FZ",1,0,4,"2-H14",NA,NA,NA,NA,"plot_2","KSR-field","Monika",1,72,1
"H16","two","RBE17","RBE",1,3,8,"2-H16",2.4,2.8,NA,NA,"plot_2","KSR-field","Jingqi Hao",0,0,0
"H17","two","HTR1","HTR",1,15,8,"2-H17",21.5,6,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"H18","two","HTR25","HTR",0,2,12,"2-H18",NA,NA,NA,NA,"plot_2","KSR-field","Samriti",0,0,0
"H19","two","HTR30","HTR",1,18,16,"2-H19",79.5,26.8,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"I02","one","FZ24","FZ",1,212,35,"2-I02",1235.1,420.5,NA,NA,"plot_2","KSR-field","Andrea and Jessica",4,0,1
"I03","one","DU4","DU",1,74,66,"2-I03a",222.7,43.9,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"I03","one","DU4","DU",1,42,42,"2-I03b",116.3,39,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"I04","one","KA24","KA",1,84,42,"2-I04",448,92.65,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"I06","two","RBE34","RBE",1,18,13,"2-I06",43.8,16.25,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"I07","two","DE7","DE",1,6,8,"2-I07",5.2,5.1,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"I09","one","WT30","WT",1,82,42,"2-I09",334.3,37.3,NA,NA,"plot_2","KSR-field","Simran",3,0,1
"I12","one","FZ24","FZ",1,181,28,"2-I12",700.5,179.2,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,15,0
"I13","one","FZ19","FZ",1,63,31,"2-I13",257,40.2,NA,NA,"plot_2","KSR-field","Simran",1,0,1
"I14","one","FOR15","FOR",1,80,1,"2-I14",1912,191.1,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,54,0
"I15","one","FOR26","FOR",1,250,42,"2-I15",1673.4,165.8,NA,NA,"plot_2","KSR-field","Samriti",8,27,1
"I18","two","HTR1","HTR",1,32,20,"2-I18",71.6,24.2,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"J01","one","WT18","WT",1,26,13,"2-J01",95.5,19.7,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"J02","one","FZ19","FZ",1,39,16,"2-J02",62.5,11.6,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"J03","one","DE7","DE",1,177,38,"2-J03",918.5,186.8,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"J06","one","WT18","WT",1,48,18,"2-J06",447,81.4,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"J07","two","RBE17","RBE",1,42,35,"2-J07",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"J08","two","FZ17","FZ",1,59,36,"2-J08",318.2,80.1,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"J10","one","FZ24","FZ",1,64,123,"2-J10",238.6,32.2,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"J11","one","KA7","KA",1,116,27,"2-J11",1257.8,182.8,NA,NA,"plot_2","KSR-field","Andrea and Jessica",6,50,1
"J12","one","KA7","KA",1,228,47,"2-J12",905.1,126.2,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,27,0
"J13","one","HTR30","HTR",1,163,27,"2-J13",636.4,91.7,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,0,0
"J14","one","RBE34","RBE",1,211,32,"2-J14",1698.6,220.3,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,64,0
"J15","one","AC15","AC",1,63,15,"2-J15",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",2,0,1
"K03","one","RBE34","RBE",1,146,55,"2-K03",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",5,49,1
"K04","one","AC3","AC",1,36,8,"2-K04",65.4,12.2,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"K06","two","FZ24","FZ",1,33,51,"2-K06",222.5,45.9,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"K07","two","WR31","WR",1,27,56,"2-K07",31,5.3,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"K09","one","HTD2","HTD",1,115,59,"2-K09",400.1,66.8,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"K12","one","FOR15","FOR",1,127,9,"2-K12",1691.8,105.4,NA,NA,"plot_2","KSR-field","not recoreded",7,34,1
"K18","two","HTR1","WR",1,53,15,"2-K18",194.5,38.7,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"L01","one","KA7","KA",1,60,7,"2-L01",286.8,19.7,NA,NA,"plot_2","KSR-field","Rebecca",4,1,1
"L03","one","WR40a","WR",1,252,18,"2-L03",1128.5,256.4,NA,NA,"plot_2","KSR-field","Steffi",3,0,1
"L04","one","DE15","DE",1,45,6,"2-L04",17.3,5.3,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"L06","two","HTD2","HTD",1,7,10,"2-L06",4.9,1.9,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"L07","two","AC3","AC",1,39,61,"2-L07",134.4,30.1,NA,NA,"plot_2","KSR-field","Rebecca",0,0,0
"L08","one","KA16","KA",1,9,5,"2-L08",3.8,3.7,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"L09","one","HTD28","HTD",1,203,98,"2-L09",1004.3,171.4,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"L12","one","WR31","WR",1,129,39,"2-L12",918,106.6,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,27,0
"L13","one","WT30","WT",1,439,35,"2-L13",2707.4,250.3,NA,NA,"plot_2","KSR-field","Samriti",22,15,1
"L14","one","WR40a","WR",1,40,35,"2-L14",165.6,34.5,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"L19","two","HTR1","HTR",1,46,8,"2-L19",171.9,53.7,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"M03","one","FOR43","FOR",1,147,39,"2-M03",431.8,108.8,NA,NA,"plot_2","KSR-field","Steffi",0,0,0
"M04","two","KA16","KA",1,110,16,"2-M04",237.8,83.9,NA,NA,"plot_2","KSR-field","Steffi",2,1,1
"M06","two","HTD28","HTD",1,5,2,"2-M06",3.5,11,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"M08","one","DE15","DE",1,7,5,"2-M08",6,7,NA,NA,"plot_2","KSR-field","Grant",0,0,0
"M09","one","KA24","KA",1,343,70,"2-M09",NA,NA,NA,NA,"plot_2","KSR-field","Steffi",4,0,1
"M10","one","KA24","KA",1,33,79,"2-M10",186.7,25,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"M12","one","FOR43","FOR",1,6,17,"2-M12",NA,NA,NA,NA,"plot_2","KSR-field","Jing Qi",0,0,0
"M14","one","KA16","KA",1,40,20,"2-M14",80.3,19.8,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"M19","two","RBE34","RBE",1,8,3,"2-M19",3.3,2.8,NA,NA,"plot_2","KSR-field","Madeline",0,0,0
"N04","one","AC3","AC",1,267,33,"2-N04",1256.7,214.6,NA,NA,"plot_2","KSR-field","Steffi",10,26,1
"N05","two","RBE17","RBE",1,6,8,"2-N05",8.8,3,NA,NA,"plot_2","KSR-field","Simran",0,0,0
"N07","two","RBE17","RBE",1,27,59,"2-N07",106.1,21.9,NA,NA,"plot_2","KSR-field","Rebecca",1,0,1
"N09","one","DE15","DE",1,362,63,"2-N09",3074.4,355.4,NA,NA,"plot_2","KSR-field","Andrea and Jessica",0,30,0
"N11","one","FZ17","FZ",1,57,151,"2-N11",483.4,71.1,NA,NA,"plot_2","KSR-field","Rebecca",3,0,1
